Bairro,Trecho da rua,"Situação locacional (marquise, sombra de árvore; Céu livre, etc)",Data e Hora,Clima,Temperatura (°C),Isolamento da Roupa,Você é:,Você faz utilização de remédios de uso contínuo,"Se sim, qual ou quais comorbidade(s)?",Faixa Etária,Gênero,Como você se identifica em relação à raça/cor:,Nível de escolarização,Com que frequência você caminha pelo seu bairro ou por outras áreas da cidade?,Quais são os principais motivos para caminhar? ,Quais barreiras você encontra ao caminhar na sua região?,Você sente que há infraestrutura adequada para pedestres na sua região?,"De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Largura da calçada]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Pavimentação]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Espaço livre para circulação de pedestres]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [O quanto ter árvores e sombras no seu percurso de caminhada é importante ?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Você se sente seguro(a) caminhando na sua região durante o dia?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Você se sente seguro(a) caminhando na sua região durante a noite?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [A infraestrutura para pedestres é acessível para idosos, pessoas com deficiência ou mobilidade reduzida ?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [A infraestrutura para pedestres é acessível para mulheres com crianças ?]",Há áreas onde você evita caminhar por questões de segurança?,Quais dificuldades você encontra ao caminhar por aqui?,Presença e Distribuição [Bancos disponíveis ao longo do trecho?],Presença e Distribuição [Lixeiras em pontos estratégicos?],Presença e Distribuição [Ponto de ônibus acessível e em bom estado?],Presença e Distribuição [Placas ou sinalização para pedestres?],"De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Estado geral dos bancos]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Iluminação pública funcionando]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Faixas de pedestre visíveis]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Placas e semáforos para pedestres legíveis]", [Rampas para cadeirantes em esquinas/faixas], [Bancos com sombra/proteção climática]," [Sinalização adequada para idosos, crianças e pessoas com deficiência]", [Existência de paradas de transporte público], [Paradas de transporte público/proteção climática], [Você utiliza os bancos/mobiliário urbano daqui?], [Você acha que a sinalização ajuda a caminhar com segurança?],"Neste exato momento, quanto às condições de tempo, você sente?","Como você preferia estar se sentindo, nesse momento?",Como você classifica o conforto térmico nesse trecho?,O que você acha do sol neste momento?,O que você acha do vento neste momento?,O que você acha da umidade neste momento?,"Em relação às condições atmosféricas, você está se sentindo confortável?",Nota geral de caminhabilidade do trecho (0 a 10) [Nota]
Barra Olimpica,Parque,Céu livre,16 de maio 17:15,Nublado,20,Até 0.5 clo (vestimenta de verão),Morador,Não,,< 18 anos,Feminino,Parda,Ensino Médio incompleto,Só os fins de semana,Lazer,Insegurança,Sim,5,5,5,5,3,2,3,3,Sim,"Sensação de insegurança, Construções (residências, lojas, etc)",Sim,Sim,Sim,Parcial,4,5,5,4,Atende parcialmente,Parcial,Não,Sim,Parcial,Parcial,Sim,Um pouco de frio,Um pouco mais aquecido,Um pouco desconfortável,Você prefere mais,OK,Úmido,Sim,9
Barra Olímpica,Parque,Sombra de árvore,16 de maio 17:20,Nublado,24,Entre 0.5 e 1 clo (vestimenta de meia estação),Morador,Não,,45–59,Masculino,Branca,Educação Superior completa,Alguns dias da semana,Lazer,Calçadas ruins,Sim,5,4,5,5,5,5,5,5,Não,Calçadas ruins,Sim,Sim,Sim,Sim,3,4,4,5,Atende parcialmente,Sim,Sim,Sim,Sim,Sim,Sim,Um pouco de frio,Um pouco mais aquecido,Confortável,Você prefere mais,Pouco vento,Úmido,Sim,9
Barra Olímpica,Parque,Sombra de árvore,16 de maio 17:20,Nublado,24,Até 0.5 clo (vestimenta de verão),Visitante,Sim,Anticoncepcional ,18–29,Feminino,Preta,Educação Superior incompleta,Esporadicamente,Lazer,Calçadas ruins,Não,2,2,2,5,3,2,2,3,Sim,"Calçadas ruins, Falta de sombra, Sensação de insegurança, Trânsito perigoso, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados, Construções (residências, lojas, etc)",Não,Não,Parcial,Parcial,,1,2,2,Não atende,Não,Não,Sim,Parcial,Não,Sim,Nem frio nem calor,Um pouco mais refrescado,Confortável,OK,OK,OK,Sim,2
Barra Olímpica,Parque,Céu livre,16 de maio 17:25,Nublado,24,Entre 0.5 e 1 clo (vestimenta de meia estação),Visitante,Sim,Pressão alta,70 ou mais,Masculino,Branca,Ensino Médio incompleto,Só os fins de semana,Outros,Calçadas ruins,Não,3,3,4,5,5,3,2,2,Sim,"Calçadas ruins, Trânsito perigoso",Parcial,Sim,Sim,Sim,4,5,5,5,Atende plenamente,Não,Não,Não,Parcial,Sim,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,Pouco vento,Úmido,Mais ou Menos,9
Barra Olímpica,Parque,Céu livre,16 de maio 17:25,Nublado,24,Até 0.5 clo (vestimenta de verão),Morador,Sim,Hipotireoidismo ,45–59,Feminino,Branca,"Pós-graduação (especialização, mestrado, doutorado)",Alguns dias da semana,Lazer,Calçadas ruins,Sim,4,4,5,5,5,4,4,5,Sim,Calçadas ruins,Sim,Sim,Sim,Sim,4,4,4,4,Atende plenamente,Sim,Parcial,Sim,Sim,Sim,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,Pouco vento,OK,Sim,9
Barra Olímpica,Parque,Céu livre,16 de maio 17:30,Nublado,20,Entre 0.5 e 1 clo (vestimenta de meia estação),Visitante,Não,,30–44,Masculino,Parda,Educação Superior incompleta,Diariamente,Trabalho,Insegurança,Mais ou menos,4,4,4,4,3,3,3,3,Sim,Sensação de insegurança,Parcial,Parcial,Parcial,Parcial,3,3,3,3,Atende parcialmente,Parcial,Parcial,Parcial,Parcial,Parcial,Parcial,Nem frio nem calor,Assim mesmo,Confortável,OK,Pouco vento,Úmido,Sim,7
Barra Olímpica,Parque,Céu livre,16 de maio 17:30,Nublado,24,Até 0.5 clo (vestimenta de verão),Morador,Sim,Pressão alta,45–59,Masculino,Branca,"Pós-graduação (especialização, mestrado, doutorado)",Diariamente,Lazer,Calçadas ruins,Sim,4,4,5,5,5,5,5,5,Não,Calçadas ruins,Sim,Sim,Sim,Sim,4,4,5,5,Atende plenamente,Sim,Sim,Sim,Sim,Parcial,Sim,Nem frio nem calor,Mais refrescado,Confortável,OK,Ventoso,Úmido,Sim,9
Barra Olímpica,Parque,Céu livre,16 de maio 17:30,Nublado,24,Entre 0.5 e 1 clo (vestimenta de meia estação),Visitante,Não,,18–29,Masculino,Parda,Educação Superior completa,Alguns dias da semana,Trabalho,Calçadas ruins,Mais ou menos,3,4,3,5,3,2,3,3,Sim,"Calçadas ruins, Sensação de insegurança, Construções (residências, lojas, etc)",Não,Parcial,Sim,Sim,3,4,4,4,Atende parcialmente,Parcial,Parcial,Sim,Sim,Não,Sim,Um pouco de frio,Assim mesmo,Confortável,Você prefere mais,OK,Úmido,Sim,8
Barra Olímpica,Parque,Sombra de árvore,16 de maio 17:50,Nublado,24,Entre 0.5 e 1 clo (vestimenta de meia estação),Morador,Não,,70 ou mais,Feminino,Branca,Ensino Médio completo,Esporadicamente,Lazer,Poluição,Sim,4,4,5,5,4,3,4,5,Não,"Construções (residências, lojas, etc)",Sim,Sim,Sim,Não,4,4,3,3,Atende plenamente,Sim,Parcial,Sim,Sim,Sim,Sim,Um pouco de frio,Mais aquecido,Um pouco desconfortável,Você prefere mais,OK,Úmido,Mais ou Menos,9
Barra da Tijuca,Av. Das Américas,Sombra de árvore,01 de junho 8:30,Nublado,23°,Entre 0.5 e 1 clo (vestimenta de meia estação),Trabalhador da região,Não,,18–29,Feminino,Branca,Ensino Médio completo,Todos os dias da semana,Trabalho,Insegurança,Mais ou menos,3,4,2,3,4,2,1,1,Sim,"Sensação de insegurança, Trânsito perigoso",Não,Não,Sim,Não,1,4,1,1,Atende parcialmente,Sim,Não,Sim,Parcial,Não,Sim,Um pouco de frio,Assim mesmo,Confortável,OK,Ventoso,Úmido,Sim,8
