id_resposta,bairro,trecho,situacao_locacional,data,hora,data_hora_iso,mes,periodo_dia,clima,temperatura_c,isolamento_roupa,clo_ordinal,clo_ref,perfil_respondente,usa_remedio_continuo,comorbidade,faixa_etaria,faixa_etaria_ordem,genero,raca_cor,raca_cor_agrupada,escolaridade,escolaridade_ordem,freq_caminhada,freq_caminhada_ordem,motivo_caminhar,barreira_principal,infra_adequada_pedestres,infra_adequada_ordem,nota_largura_calcada,nota_pavimentacao,nota_espaco_livre,nota_import_arvores_sombra,nota_seguranca_dia,nota_seguranca_noite,nota_acess_pcd_idosos,nota_acess_mulher_crianca,nota_estado_bancos,nota_iluminacao_publica,nota_faixas_pedestre,nota_placas_semaforos,evita_areas_inseguranca,dificuldades,dificuldades_n,dif_construcoes,dif_falta_bancos,dif_carros_estacionados,dif_inseguranca,dif_transito_perigoso,dif_calcadas_ruins,dif_falta_sombra,presenca_bancos,presenca_bancos_ord,presenca_lixeiras,presenca_lixeiras_ord,presenca_ponto_onibus,presenca_ponto_onibus_ord,presenca_sinal_pedestre,presenca_sinal_pedestre_ord,rampas_cadeirantes,rampas_cadeirantes_ord,bancos_com_sombra,bancos_com_sombra_ord,sinalizacao_inclusiva,sinalizacao_inclusiva_ord,existe_parada_transporte,existe_parada_transporte_ord,parada_com_protecao_climatica,parada_com_protecao_climatica_ord,utiliza_mobiliario,utiliza_mobiliario_ord,sinalizacao_ajuda_seguranca,sinalizacao_ajuda_seguranca_ord,sensacao_termica,sensacao_termica_escala,preferencia_termica,preferencia_termica_escala,conforto_termico,conforto_termico_escala,percepcao_sol,percepcao_vento,percepcao_umidade,confortavel_cond_atmosfericas,confortavel_cond_atm_ordem,idx_infra_fisica,idx_seguranca,idx_acessibilidade,nota_caminhabilidade,obs_tratamento
R001,Barra Olímpica,Parque,Céu livre,2026-05-16,17:15,2026-05-16T17:15,Maio,Tarde,Nublado,20,"Até 0,5 clo (verão)",1,0.5,Morador,Não,,<18,1,Feminino,Parda,Preta/Parda,Ensino Médio incompleto,3,Só os fins de semana,2,Lazer,Insegurança,Sim,2,5,5,5,5,3,2,3,3,4,5,5,4,Sim,"Construções (residências, lojas, etc); Sensação de insegurança",2,1,0,0,1,0,0,0,Sim,2,Sim,2,Sim,2,Parcial,1,Parcial,1,Parcial,1,Não,0,Sim,2,Parcial,1,Parcial,1,Sim,2,Um pouco de frio,-1,Um pouco mais aquecido,1,Um pouco desconfortável,1,Você prefere mais,OK,Úmido,Sim,2,4.71,2.5,3,9,bairro padronizado
R002,Barra Olímpica,Parque,Sombra de árvore,2026-05-16,17:20,2026-05-16T17:20,Maio,Tarde,Nublado,24,"0,5–1 clo (meia estação)",2,0.75,Morador,Não,,45-59,4,Masculino,Branca,Branca,Educação Superior completa,6,Alguns dias da semana,3,Lazer,Calçadas ruins,Sim,2,5,4,5,5,5,5,5,5,3,4,4,5,Não,Calçadas ruins,1,0,0,0,0,0,1,0,Sim,2,Sim,2,Sim,2,Sim,2,Parcial,1,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Um pouco de frio,-1,Um pouco mais aquecido,1,Confortável,0,Você prefere mais,Pouco vento,Úmido,Sim,2,4.29,5,5,9,
R003,Barra Olímpica,Parque,Sombra de árvore,2026-05-16,17:20,2026-05-16T17:20,Maio,Tarde,Nublado,24,"Até 0,5 clo (verão)",1,0.5,Visitante,Sim,Anticoncepcional,18-29,2,Feminino,Preta,Preta/Parda,Educação Superior incompleta,5,Esporadicamente,1,Lazer,Calçadas ruins,Não,0,2,2,2,5,3,2,2,3,,1,2,2,Sim,"Construções (residências, lojas, etc); Falta de bancos ou locais para descanso; Excesso de carros e/ou motos estacionados; Sensação de insegurança; Trânsito perigoso; Calçadas ruins; Falta de sombra",7,1,1,1,1,1,1,1,Não,0,Não,0,Parcial,1,Parcial,1,Não,0,Não,0,Não,0,Sim,2,Parcial,1,Não,0,Sim,2,Nem frio nem calor,0,Um pouco mais refrescado,-1,Confortável,0,OK,OK,OK,Sim,2,1.83,2.5,2.5,2,
R004,Barra Olímpica,Parque,Céu livre,2026-05-16,17:25,2026-05-16T17:25,Maio,Tarde,Nublado,24,"0,5–1 clo (meia estação)",2,0.75,Visitante,Sim,Pressão alta,70+,6,Masculino,Branca,Branca,Ensino Médio incompleto,3,Só os fins de semana,2,Outros,Calçadas ruins,Não,0,3,3,4,5,5,3,2,2,4,5,5,5,Sim,Trânsito perigoso; Calçadas ruins,2,0,0,0,0,1,1,0,Parcial,1,Sim,2,Sim,2,Sim,2,Sim,2,Não,0,Não,0,Não,0,Parcial,1,Sim,2,Sim,2,Nem frio nem calor,0,Assim mesmo,0,Confortável,0,OK,Pouco vento,Úmido,Mais ou menos,1,4.14,4,2,9,
R005,Barra Olímpica,Parque,Céu livre,2026-05-16,17:25,2026-05-16T17:25,Maio,Tarde,Nublado,24,"Até 0,5 clo (verão)",1,0.5,Morador,Sim,Hipotireoidismo,45-59,4,Feminino,Branca,Branca,"Pós-graduação (especialização, mestrado, doutorado)",7,Alguns dias da semana,3,Lazer,Calçadas ruins,Sim,2,4,4,5,5,5,4,4,5,4,4,4,4,Sim,Calçadas ruins,1,0,0,0,0,0,1,0,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Parcial,1,Sim,2,Sim,2,Sim,2,Sim,2,Nem frio nem calor,0,Assim mesmo,0,Confortável,0,OK,Pouco vento,OK,Sim,2,4.14,4.5,4.5,9,
R006,Barra Olímpica,Parque,Céu livre,2026-05-16,17:30,2026-05-16T17:30,Maio,Tarde,Nublado,20,"0,5–1 clo (meia estação)",2,0.75,Visitante,Não,,30-44,3,Masculino,Parda,Preta/Parda,Educação Superior incompleta,5,Diariamente,4,Trabalho,Insegurança,Mais ou menos,1,4,4,4,4,3,3,3,3,3,3,3,3,Sim,Sensação de insegurança,1,0,0,0,1,0,0,0,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Nem frio nem calor,0,Assim mesmo,0,Confortável,0,OK,Pouco vento,Úmido,Sim,2,3.43,3,3,7,
R007,Barra Olímpica,Parque,Céu livre,2026-05-16,17:30,2026-05-16T17:30,Maio,Tarde,Nublado,24,"Até 0,5 clo (verão)",1,0.5,Morador,Sim,Pressão alta,45-59,4,Masculino,Branca,Branca,"Pós-graduação (especialização, mestrado, doutorado)",7,Diariamente,4,Lazer,Calçadas ruins,Sim,2,4,4,5,5,5,5,5,5,4,4,5,5,Não,Calçadas ruins,1,0,0,0,0,0,1,0,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Sim,2,Parcial,1,Sim,2,Nem frio nem calor,0,Mais refrescado,-2,Confortável,0,OK,Ventoso,Úmido,Sim,2,4.43,5,5,9,
R008,Barra Olímpica,Parque,Céu livre,2026-05-16,17:30,2026-05-16T17:30,Maio,Tarde,Nublado,24,"0,5–1 clo (meia estação)",2,0.75,Visitante,Não,,18-29,2,Masculino,Parda,Preta/Parda,Educação Superior completa,6,Alguns dias da semana,3,Trabalho,Calçadas ruins,Mais ou menos,1,3,4,3,5,3,2,3,3,3,4,4,4,Sim,"Construções (residências, lojas, etc); Sensação de insegurança; Calçadas ruins",3,1,0,0,1,0,1,0,Não,0,Parcial,1,Sim,2,Sim,2,Parcial,1,Parcial,1,Parcial,1,Sim,2,Sim,2,Não,0,Sim,2,Um pouco de frio,-1,Assim mesmo,0,Confortável,0,Você prefere mais,OK,Úmido,Sim,2,3.57,2.5,3,8,
R009,Barra Olímpica,Parque,Sombra de árvore,2026-05-16,17:50,2026-05-16T17:50,Maio,Tarde,Nublado,24,"0,5–1 clo (meia estação)",2,0.75,Morador,Não,,70+,6,Feminino,Branca,Branca,Ensino Médio completo,4,Esporadicamente,1,Lazer,Poluição,Sim,2,4,4,5,5,4,3,4,5,4,4,3,3,Não,"Construções (residências, lojas, etc)",1,1,0,0,0,0,0,0,Sim,2,Sim,2,Sim,2,Não,0,Sim,2,Sim,2,Parcial,1,Sim,2,Sim,2,Sim,2,Sim,2,Um pouco de frio,-1,Mais aquecido,2,Um pouco desconfortável,1,Você prefere mais,OK,Úmido,Mais ou menos,1,3.86,3.5,4.5,9,
R010,Barra da Tijuca,Av. Das Américas,Sombra de árvore,2026-06-01,08:30,2026-06-01T08:30,Junho,Manhã,Nublado,23,"0,5–1 clo (meia estação)",2,0.75,Trabalhador da região,Não,,18-29,2,Feminino,Branca,Branca,Ensino Médio completo,4,Todos os dias da semana,4,Trabalho,Insegurança,Mais ou menos,1,3,4,2,3,4,2,1,1,1,4,1,1,Sim,Sensação de insegurança; Trânsito perigoso,2,0,0,0,1,1,0,0,Não,0,Não,0,Sim,2,Não,0,Parcial,1,Sim,2,Não,0,Sim,2,Parcial,1,Não,0,Sim,2,Um pouco de frio,-1,Assim mesmo,0,Confortável,0,OK,Ventoso,Úmido,Sim,2,2.29,3,1,8,
