id_resposta,dificuldade
R001,"Construções (residências, lojas, etc)"
R001,Sensação de insegurança
R002,Calçadas ruins
R003,"Construções (residências, lojas, etc)"
R003,Falta de bancos ou locais para descanso
R003,Excesso de carros e/ou motos estacionados
R003,Sensação de insegurança
R003,Trânsito perigoso
R003,Calçadas ruins
R003,Falta de sombra
R004,Trânsito perigoso
R004,Calçadas ruins
R005,Calçadas ruins
R006,Sensação de insegurança
R007,Calçadas ruins
R008,"Construções (residências, lojas, etc)"
R008,Sensação de insegurança
R008,Calçadas ruins
R009,"Construções (residências, lojas, etc)"
R010,Sensação de insegurança
R010,Trânsito perigoso
R011,Falta de bancos ou locais para descanso
R011,Sensação de insegurança
R011,Calçadas ruins
R012,Calçadas ruins
R013,Falta de bancos ou locais para descanso
R013,Excesso de carros e/ou motos estacionados
R013,Sensação de insegurança
R013,Calçadas ruins
R013,Falta de sombra
R014,Sensação de insegurança
R015,Sensação de insegurança
R015,Falta de sombra
R016,Falta de bancos ou locais para descanso
R016,Sensação de insegurança
R016,Trânsito perigoso
R017,Sensação de insegurança
R017,Trânsito perigoso
R017,Calçadas ruins
R017,Falta de sombra
R018,Sensação de insegurança
R019,Falta de bancos ou locais para descanso
R019,Calçadas ruins
R019,Falta de sombra
R020,Falta de bancos ou locais para descanso
R021,Calçadas ruins
R022,Falta de bancos ou locais para descanso
R022,Excesso de carros e/ou motos estacionados
R022,Sensação de insegurança
R022,Calçadas ruins
R023,Calçadas ruins
R024,Falta de bancos ou locais para descanso
R024,Excesso de carros e/ou motos estacionados
R024,Sensação de insegurança
R024,Calçadas ruins
R024,Falta de sombra
R025,Excesso de carros e/ou motos estacionados
R025,Sensação de insegurança
R025,Trânsito perigoso
R025,Calçadas ruins
R025,Falta de sombra
R026,"Construções (residências, lojas, etc)"
R026,Falta de bancos ou locais para descanso
R026,Excesso de carros e/ou motos estacionados
R026,Sensação de insegurança
R026,Trânsito perigoso
R026,Calçadas ruins
R026,Falta de sombra
R027,Calçadas ruins
R028,Sensação de insegurança
R028,Calçadas ruins
R028,Falta de sombra
R029,Sensação de insegurança
R029,Trânsito perigoso
R031,Falta de bancos ou locais para descanso
R031,Excesso de carros e/ou motos estacionados
R031,Calçadas ruins
R031,Falta de sombra
R033,Falta de bancos ou locais para descanso
R033,Sensação de insegurança
R033,Calçadas ruins
R034,Falta de bancos ou locais para descanso
R034,Trânsito perigoso
R034,Calçadas ruins
R035,Trânsito perigoso
R037,Falta de bancos ou locais para descanso
R037,Excesso de carros e/ou motos estacionados
R038,Trânsito perigoso
R038,Calçadas ruins
R039,Falta de bancos ou locais para descanso
R039,Sensação de insegurança
R039,Trânsito perigoso
R040,Trânsito perigoso
R041,Falta de bancos ou locais para descanso
R041,Sensação de insegurança
R041,Calçadas ruins
R041,Falta de sombra
R042,Sensação de insegurança
R043,"Construções (residências, lojas, etc)"
R043,Falta de bancos ou locais para descanso
R043,Excesso de carros e/ou motos estacionados
R043,Trânsito perigoso
R043,Calçadas ruins
R043,Falta de sombra
R044,Falta de bancos ou locais para descanso
R044,Trânsito perigoso
R045,Falta de bancos ou locais para descanso
R045,Sensação de insegurança
R045,Trânsito perigoso
R045,Calçadas ruins
R046,Sensação de insegurança
R047,Falta de bancos ou locais para descanso
R047,Sensação de insegurança
R047,Trânsito perigoso
R047,Falta de sombra
R048,Sensação de insegurança
R048,Calçadas ruins
R048,Falta de sombra
R049,Falta de bancos ou locais para descanso
R050,Falta de bancos ou locais para descanso
R050,Excesso de carros e/ou motos estacionados
R050,Calçadas ruins
R050,Falta de sombra
R051,Falta de bancos ou locais para descanso
R051,Trânsito perigoso
R053,Sensação de insegurança
R054,Falta de bancos ou locais para descanso
R054,Excesso de carros e/ou motos estacionados
R054,Trânsito perigoso
R054,Falta de sombra
R055,Falta de bancos ou locais para descanso
R055,Excesso de carros e/ou motos estacionados
R055,Trânsito perigoso
R055,Falta de sombra
R056,Excesso de carros e/ou motos estacionados
R056,Falta de sombra
R057,Sensação de insegurança
R057,Trânsito perigoso
R058,Sensação de insegurança
R059,Falta de bancos ou locais para descanso
R059,Excesso de carros e/ou motos estacionados
R059,Sensação de insegurança
R059,Trânsito perigoso
R059,Calçadas ruins
R060,Sensação de insegurança
R061,Falta de bancos ou locais para descanso
R062,Excesso de carros e/ou motos estacionados
R062,Sensação de insegurança
R062,Trânsito perigoso
R062,Calçadas ruins
R063,Excesso de carros e/ou motos estacionados
R063,Sensação de insegurança
R064,Calçadas ruins
R065,Sensação de insegurança
R066,Falta de bancos ou locais para descanso
R066,Sensação de insegurança
R066,Trânsito perigoso
R066,Calçadas ruins
